deployment_id,group,dataset_id,load_ok,qc_method,missing_signals,available_signals,error
2024-10-21_pale-001,"Kruger National Park, South Africa",pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2024-10-22_pale-002,"Kruger National Park, South Africa",pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2024-10-21_pale-003,"Kruger National Park, South Africa",pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2024-10-22_pale-004,"Kruger National Park, South Africa",pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-05-28_pale-005,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-07-03_pale-006,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-07-01_pale-007,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-07-16_pale-008,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-10-15_pale-009,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-06-16_pale-010,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-11-10_pale-011,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-11-13_pale-012,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, accelerometer2, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-10-03_pale-013,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, accelerometer2, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-09-24_pale-015,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-09-26_pale-016,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-10-01_pale-019,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-10-19_pale-020,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2014-11-25_pale-014,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
2015-04-13_pale-017,Kenya,pale-adult-lion_vid-accel_africa_TW,True,netcdf_header,,"accelerometer, corrected_acc, dynamic_accel, jerk, location, odba, prh, sr_smoothed, stroke_rate",
