original_channel_id,original_unit,manufacturer_signal_name,standardized_channel_id,standardized_unit,parent_signal
date_gmt,MM/DD/YY,date,date_utc,YYYY-MM-DD,clock
time_gmt,HH:MM:SS,time,time_utc,HH:MM:SS.000,clock
light,Lux,light,light,lux,light
light2,Lux,,light,lux,light
pitch,rad,pitch,pitch,deg,prh
roll,rad,,roll,deg,prh
heading_mag,rad,heading_mag,heading,deg,prh
depth,m,depth,corrected_depth,m,depth
strokingrate,Hz,strokingrate,stroke_rate,spm,stroke_rate
heading_geo,rad,heading_geo,heading2,deg,prh
wet-dry,conductivity,wet-dry,wet_dry,NA,logger_status
divenumber,count,divenumber,dive_num,Dive_num,dives
detectedfeeding,binary,detectedfeeding,feeding,str,feeding_attempts
divenumber_inc_inaccuratedepth,count,,dive_num_all-incl-inacc-depth,count,dives
x,m,,pos_x_perdive,m,position
y,m,,pos_y_perdive,m,position
xcorr,m,,geopos_x_perdive,m,position
ycorr,m,,geopos_y_perdive,m,position
speed,m/s,,velocity,m/s,velocity
lat1hz,decimal-degrees,,latitude,DD,location
lon1hz,decimal-degrees,,longitude,DD,location
pred_divetype,code,,dive_type_project,str,dives
divenumber_inc_inaccuratespeed,count,,dive_num_all-incl-inacc_speed,count,dives
datetimenumeric,unix,datetimenum,datetimenum_utc,unix,clock
